"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","2000",29387.013559,
"AUT","GDP","TOT","USD_CAP","A","2001",29715.497031,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32121.714513,
"AUT","GDP","TOT","USD_CAP","A","2004",33753.625012,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37619.892106,
"AUT","GDP","TOT","USD_CAP","A","2007",39391.07903,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40966.523911,
"AUT","GDP","TOT","USD_CAP","A","2010",42049.248693,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49955.456118,
"AUT","GDP","TOT","USD_CAP","A","2016",52659.767807,
"AUT","GDP","TOT","USD_CAP","A","2017",54511.590833,
"AUT","GDP","TOT","USD_CAP","A","2018",56837.722049,
"AUT","GDP","TOT","USD_CAP","A","2019",58942.642414,
"BEL","GDP","TOT","USD_CAP","A","2000",27795.657822,
"BEL","GDP","TOT","USD_CAP","A","2001",28799.192816,
"BEL","GDP","TOT","USD_CAP","A","2002",30281.667989,
"BEL","GDP","TOT","USD_CAP","A","2003",30899.476463,
"BEL","GDP","TOT","USD_CAP","A","2004",32034.435311,
"BEL","GDP","TOT","USD_CAP","A","2005",33176.680884,
"BEL","GDP","TOT","USD_CAP","A","2006",35216.526865,
"BEL","GDP","TOT","USD_CAP","A","2007",36751.930887,
"BEL","GDP","TOT","USD_CAP","A","2008",37883.233422,
"BEL","GDP","TOT","USD_CAP","A","2009",37787.577783,
"BEL","GDP","TOT","USD_CAP","A","2010",39865.205401,
"BEL","GDP","TOT","USD_CAP","A","2011",40943.343479,
"BEL","GDP","TOT","USD_CAP","A","2012",42290.477674,
"BEL","GDP","TOT","USD_CAP","A","2013",43672.712292,
"BEL","GDP","TOT","USD_CAP","A","2014",44929.933328,
"BEL","GDP","TOT","USD_CAP","A","2015",46214.082208,
"BEL","GDP","TOT","USD_CAP","A","2016",48594.293664,
"BEL","GDP","TOT","USD_CAP","A","2017",50616.066461,
"BEL","GDP","TOT","USD_CAP","A","2018",52350.732464,
"BEL","GDP","TOT","USD_CAP","A","2019",54900.13493,
"CZE","GDP","TOT","USD_CAP","A","2000",16213.990192,
"CZE","GDP","TOT","USD_CAP","A","2001",17615.512624,
"CZE","GDP","TOT","USD_CAP","A","2002",18245.669005,
"CZE","GDP","TOT","USD_CAP","A","2003",19502.090571,
"CZE","GDP","TOT","USD_CAP","A","2004",20892.976457,
"CZE","GDP","TOT","USD_CAP","A","2005",22045.99888,
"CZE","GDP","TOT","USD_CAP","A","2006",23830.282546,
"CZE","GDP","TOT","USD_CAP","A","2007",26194.379725,
"CZE","GDP","TOT","USD_CAP","A","2008",27853.549898,
"CZE","GDP","TOT","USD_CAP","A","2009",27662.268934,
"CZE","GDP","TOT","USD_CAP","A","2010",27786.968594,
"CZE","GDP","TOT","USD_CAP","A","2011",28999.754757,
"CZE","GDP","TOT","USD_CAP","A","2012",29258.904853,
"CZE","GDP","TOT","USD_CAP","A","2013",30828.526409,
"CZE","GDP","TOT","USD_CAP","A","2014",32504.217576,
"CZE","GDP","TOT","USD_CAP","A","2015",33918.407402,
"CZE","GDP","TOT","USD_CAP","A","2016",36097.639052,
"CZE","GDP","TOT","USD_CAP","A","2017",38991.629903,
"CZE","GDP","TOT","USD_CAP","A","2018",41049.345804,
"CZE","GDP","TOT","USD_CAP","A","2019",43301.123753,
"DNK","GDP","TOT","USD_CAP","A","2000",28677.542094,
"DNK","GDP","TOT","USD_CAP","A","2001",29459.707962,
"DNK","GDP","TOT","USD_CAP","A","2002",30639.953691,
"DNK","GDP","TOT","USD_CAP","A","2003",30790.003955,
"DNK","GDP","TOT","USD_CAP","A","2004",32918.107721,
"DNK","GDP","TOT","USD_CAP","A","2005",34152.881663,
"DNK","GDP","TOT","USD_CAP","A","2006",37291.225966,
"DNK","GDP","TOT","USD_CAP","A","2007",38975.936529,
"DNK","GDP","TOT","USD_CAP","A","2008",41282.995471,
"DNK","GDP","TOT","USD_CAP","A","2009",40370.917614,
"DNK","GDP","TOT","USD_CAP","A","2010",43037.103809,
"DNK","GDP","TOT","USD_CAP","A","2011",44407.94207,
"DNK","GDP","TOT","USD_CAP","A","2012",44808.549212,
"DNK","GDP","TOT","USD_CAP","A","2013",46742.939663,
"DNK","GDP","TOT","USD_CAP","A","2014",47905.477079,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.305043,
"DNK","GDP","TOT","USD_CAP","A","2016",51961.77129,
"DNK","GDP","TOT","USD_CAP","A","2017",55516.7128,
"DNK","GDP","TOT","USD_CAP","A","2018",57408.513808,
"DNK","GDP","TOT","USD_CAP","A","2019",60194.514128,
"FIN","GDP","TOT","USD_CAP","A","2000",26794.795288,
"FIN","GDP","TOT","USD_CAP","A","2001",27807.623062,
"FIN","GDP","TOT","USD_CAP","A","2002",28605.122922,
"FIN","GDP","TOT","USD_CAP","A","2003",29019.845392,
"FIN","GDP","TOT","USD_CAP","A","2004",31173.294699,
"FIN","GDP","TOT","USD_CAP","A","2005",32051.762889,
"FIN","GDP","TOT","USD_CAP","A","2006",34413.345045,
"FIN","GDP","TOT","USD_CAP","A","2007",37799.167686,
"FIN","GDP","TOT","USD_CAP","A","2008",40083.701943,
"FIN","GDP","TOT","USD_CAP","A","2009",38008.611626,
"FIN","GDP","TOT","USD_CAP","A","2010",38982.168686,
"FIN","GDP","TOT","USD_CAP","A","2011",40916.647325,
"FIN","GDP","TOT","USD_CAP","A","2012",40872.854802,
"FIN","GDP","TOT","USD_CAP","A","2013",41492.918416,
"FIN","GDP","TOT","USD_CAP","A","2014",41749.864733,
