"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","AVWAGE","TOT","USD","A","2000",48301.7717156167,
"AUT","AVWAGE","TOT","USD","A","2001",48178.3274349428,
"AUT","AVWAGE","TOT","USD","A","2002",48888.551595148,
"AUT","AVWAGE","TOT","USD","A","2003",49031.3259177603,
"AUT","AVWAGE","TOT","USD","A","2004",49953.3668689519,
"AUT","AVWAGE","TOT","USD","A","2005",50217.1538083197,
"AUT","AVWAGE","TOT","USD","A","2006",50947.0579173528,
"AUT","AVWAGE","TOT","USD","A","2007",51196.6444330899,
"AUT","AVWAGE","TOT","USD","A","2008",52102.6422610043,
"AUT","AVWAGE","TOT","USD","A","2009",52941.0953685807,
"AUT","AVWAGE","TOT","USD","A","2010",52718.8900450006,
"AUT","AVWAGE","TOT","USD","A","2011",52179.3702349736,
"AUT","AVWAGE","TOT","USD","A","2012",52445.8986342784,
"AUT","AVWAGE","TOT","USD","A","2013",52510.315695527,
"AUT","AVWAGE","TOT","USD","A","2014",52711.04885048,
"AUT","AVWAGE","TOT","USD","A","2015",53052.2166796717,
"AUT","AVWAGE","TOT","USD","A","2016",53589.1885999541,
"AUT","AVWAGE","TOT","USD","A","2017",53436.6122348035,
"AUT","AVWAGE","TOT","USD","A","2018",53560.9235051219,
"AUT","AVWAGE","TOT","USD","A","2019",53902.949044976,
"BEL","AVWAGE","TOT","USD","A","2000",51082.8287299159,
"BEL","AVWAGE","TOT","USD","A","2001",51241.6298013743,
"BEL","AVWAGE","TOT","USD","A","2002",52823.8256837971,
"BEL","AVWAGE","TOT","USD","A","2003",53134.3582417648,
"BEL","AVWAGE","TOT","USD","A","2004",52859.0908363352,
"BEL","AVWAGE","TOT","USD","A","2005",52365.1407628414,
"BEL","AVWAGE","TOT","USD","A","2006",52723.4490796871,
"BEL","AVWAGE","TOT","USD","A","2007",52631.2082922448,
"BEL","AVWAGE","TOT","USD","A","2008",52839.6136926183,
"BEL","AVWAGE","TOT","USD","A","2009",53566.1787457836,
"BEL","AVWAGE","TOT","USD","A","2010",53340.909492852,
"BEL","AVWAGE","TOT","USD","A","2011",53885.528222443,
"BEL","AVWAGE","TOT","USD","A","2012",54295.4178020329,
"BEL","AVWAGE","TOT","USD","A","2013",54844.5479306664,
"BEL","AVWAGE","TOT","USD","A","2014",55116.6019475961,
"BEL","AVWAGE","TOT","USD","A","2015",54737.0387803479,
"BEL","AVWAGE","TOT","USD","A","2016",54883.6518039581,
"BEL","AVWAGE","TOT","USD","A","2017",54626.065325507,
"BEL","AVWAGE","TOT","USD","A","2018",55065.8114740263,
"BEL","AVWAGE","TOT","USD","A","2019",55590.1304610982,
"CZE","AVWAGE","TOT","USD","A","2000",16836.3509505026,
"CZE","AVWAGE","TOT","USD","A","2001",17682.5541690343,
"CZE","AVWAGE","TOT","USD","A","2002",18752.9986373636,
"CZE","AVWAGE","TOT","USD","A","2003",20169.9574915863,
"CZE","AVWAGE","TOT","USD","A","2004",21163.6535938234,
"CZE","AVWAGE","TOT","USD","A","2005",21800.6361660017,
"CZE","AVWAGE","TOT","USD","A","2006",22670.7293396077,
"CZE","AVWAGE","TOT","USD","A","2007",23354.1664251215,
"CZE","AVWAGE","TOT","USD","A","2008",23365.3095526015,
"CZE","AVWAGE","TOT","USD","A","2009",23312.1374853614,
"CZE","AVWAGE","TOT","USD","A","2010",23908.7739743262,
"CZE","AVWAGE","TOT","USD","A","2011",24072.4621009452,
"CZE","AVWAGE","TOT","USD","A","2012",24059.6197090714,
"CZE","AVWAGE","TOT","USD","A","2013",23805.6796241068,
"CZE","AVWAGE","TOT","USD","A","2014",24304.0473420904,
"CZE","AVWAGE","TOT","USD","A","2015",24969.5264422451,
"CZE","AVWAGE","TOT","USD","A","2016",25819.1719945996,
"CZE","AVWAGE","TOT","USD","A","2017",26888.6222120896,
"CZE","AVWAGE","TOT","USD","A","2018",28360.3647074451,
